Salario anual;Sexo/Brecha de g�nero;Periodo;Total
Salario medio bruto;Mujeres;2023;25.591,31
Salario medio bruto;Mujeres;2022;24.359,82
Salario medio bruto;Mujeres;2021;23.175,95
Salario medio bruto;Mujeres;2020;22.467,48
Salario medio bruto;Mujeres;2019;21.682,02
Salario medio bruto;Mujeres;2018;21.011,89
Salario medio bruto;Mujeres;2017;20.607,85
Salario medio bruto;Mujeres;2016;20.131,41
Salario medio bruto;Mujeres;2015;20.051,58
Salario medio bruto;Mujeres;2014;19.744,82
Salario medio bruto;Mujeres;2013;19.514,58
Salario medio bruto;Mujeres;2012;19.537,33
Salario medio bruto;Mujeres;2011;19.767,59
Salario medio bruto;Mujeres;2010;19.735,22
Salario medio bruto;Hombres;2023;30.372,49
Salario medio bruto;Hombres;2022;29.381,84
Salario medio bruto;Hombres;2021;28.388,69
Salario medio bruto;Hombres;2020;27.642,52
Salario medio bruto;Hombres;2019;26.934,38
Salario medio bruto;Hombres;2018;26.738,19
Salario medio bruto;Hombres;2017;26.391,84
Salario medio bruto;Hombres;2016;25.924,43
Salario medio bruto;Hombres;2015;25.992,76
Salario medio bruto;Hombres;2014;25.727,24
Salario medio bruto;Hombres;2013;25.675,17
Salario medio bruto;Hombres;2012;25.682,05
Salario medio bruto;Hombres;2011;25.667,89
Salario medio bruto;Hombres;2010;25.479,74
Salario mediano;Mujeres;2022;20.044,99
Salario mediano;Mujeres;2021;19.162,47
Salario mediano;Mujeres;2020;18.556,68
Salario mediano;Mujeres;2019;17.961,93
Salario mediano;Mujeres;2018;17.467,43
Salario mediano;Mujeres;2017;17.214,60
Salario mediano;Mujeres;2016;16.831,58
Salario mediano;Mujeres;2015;16.825,11
Salario mediano;Mujeres;2014;16.771,32
Salario mediano;Mujeres;2013;16.452,43
Salario mediano;Mujeres;2012;16.524,51
Salario mediano;Mujeres;2011;16.796,41
Salario mediano;Mujeres;2010;16.536,10
Salario mediano;Hombres;2022;24.238,20
Salario mediano;Hombres;2021;23.490,62
Salario mediano;Hombres;2020;22.774,10
Salario mediano;Hombres;2019;22.368,07
Salario mediano;Hombres;2018;22.241,88
Salario mediano;Hombres;2017;21.970,34
Salario mediano;Hombres;2016;21.626,00
Salario mediano;Hombres;2015;21.740,88
Salario mediano;Hombres;2014;21.528,50
Salario mediano;Hombres;2013;21.371,13
Salario mediano;Hombres;2012;21.425,14
Salario mediano;Hombres;2011;21.487,99
Salario mediano;Hombres;2010;21.206,99
Salario m�s frecuente;Mujeres;2022;14.564,20
Salario m�s frecuente;Mujeres;2021;14.481,56
Salario m�s frecuente;Mujeres;2020;13.531,73
Salario m�s frecuente;Mujeres;2019;13.514,82
Salario m�s frecuente;Mujeres;2018;15.484,45
Salario m�s frecuente;Mujeres;2017;13.518,63
Salario m�s frecuente;Mujeres;2016;13.500,44
Salario m�s frecuente;Mujeres;2015;14.487,75
Salario m�s frecuente;Mujeres;2014;14.497,92
Salario m�s frecuente;Mujeres;2013;14.501,84
Salario m�s frecuente;Mujeres;2012;14.514,60
Salario m�s frecuente;Mujeres;2011;14.468,50
Salario m�s frecuente;Mujeres;2010;12.540,31
Salario m�s frecuente;Hombres;2022;19.499,60
Salario m�s frecuente;Hombres;2021;19.487,60
Salario m�s frecuente;Hombres;2020;18.491,68
Salario m�s frecuente;Hombres;2019;18.506,79
Salario m�s frecuente;Hombres;2018;18.470,75
Salario m�s frecuente;Hombres;2017;17.501,52
Salario m�s frecuente;Hombres;2016;17.509,37
Salario m�s frecuente;Hombres;2015;17.502,37
Salario m�s frecuente;Hombres;2014;16.515,73
Salario m�s frecuente;Hombres;2013;17.498,69
Salario m�s frecuente;Hombres;2012;16.510,10
Salario m�s frecuente;Hombres;2011;18.465,22
Salario m�s frecuente;Hombres;2010;16.505,27
